image,sigma,median_size,threshold_method,threshold_value,open_size,close_size,dice
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-300,2,3,0.46373026237682535
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-300,3,0,0.45662209964626177
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-300,3,2,0.4571325864238212
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-300,3,3,0.45813132220027536
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,otsu,-389,0,0,0.5338325166547376
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,otsu,-389,0,2,0.5313592657342657
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,otsu,-389,0,3,0.5302471812662619
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,otsu,-389,2,0,0.5297835449409922
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,otsu,-389,2,2,0.5275971318992829
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,otsu,-389,2,3,0.5268454520320708
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,otsu,-389,3,0,0.5111707902405577
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,otsu,-389,3,2,0.5094983505858264
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,otsu,-389,3,3,0.5097128617545449
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-500,0,0,0.5638793907367112
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-500,0,2,0.5582775021735795
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-500,0,3,0.5536831483350151
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-500,2,0,0.5627175862432746
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-500,2,2,0.5572590738423029
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-500,2,3,0.5553257497414684
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-500,3,0,0.5504626873748579
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-500,3,2,0.5459517426273458
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-500,3,3,0.5445137888728864
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-400,0,0,0.5372022994798795
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-400,0,2,0.5343693962940825
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-400,0,3,0.5332040717401842
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-400,2,0,0.5328361531611754
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-400,2,2,0.5302057977428635
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-400,2,3,0.5295703361390769
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-400,3,0,0.5161693662972435
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-400,3,2,0.5142760219370159
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-400,3,3,0.5142181429134524
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-300,0,0,0.5031055900621118
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-300,0,2,0.5019468621163536
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-300,0,3,0.5024782088531875
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-300,2,0,0.49862853807995333
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-300,2,2,0.49767225325884545
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-300,2,3,0.4981442820691255
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-300,3,0,0.47571947804325804
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-300,3,2,0.47521570961023507
LIDC-IDRI-0001_R_1.nii.gz,0.5,1,fixed,-300,3,3,0.476897493764105
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,otsu,-394,0,0,0.5269427744377644
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,otsu,-394,0,2,0.5247881238575306
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,otsu,-394,0,3,0.5238936099768238
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,otsu,-394,2,0,0.5263511245384357
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,otsu,-394,2,2,0.5242469795668393
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,otsu,-394,2,3,0.5234370666222888
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,otsu,-394,3,0,0.512071805942169
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,otsu,-394,3,2,0.5111337176443992
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,otsu,-394,3,3,0.5107006082451002
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-500,0,0,0.5579557428872497
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-500,0,2,0.5527318269582007
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-500,0,3,0.550942224062953
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-500,2,0,0.5580804068012077
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-500,2,2,0.552798615118292
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-500,2,3,0.5509481141904563
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-500,3,0,0.5454545454545454
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-500,3,2,0.5409450502458841
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-500,3,3,0.5392553191489362
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-400,0,0,0.5286055157871372
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-400,0,2,0.5263041678167265
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-400,0,3,0.5255402210370045
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-400,2,0,0.5275252384405154
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-400,2,2,0.5252760668109427
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-400,2,3,0.5246282270993421
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-400,3,0,0.5148548469243394
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-400,3,2,0.5134267860158757
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-400,3,3,0.5131542042968531
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-300,0,0,0.49233816931771834
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-300,0,2,0.4914279072470506
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-300,0,3,0.49133785271452574
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-300,2,0,0.4913863822805578
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-300,2,2,0.4909080278313746
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-300,2,3,0.4913672421838544
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-300,3,0,0.4740441220193852
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-300,3,2,0.4735498426646084
LIDC-IDRI-0001_R_1.nii.gz,0.5,3,fixed,-300,3,3,0.47578398245302034
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,otsu,-400,0,0,0.49974560461303635
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,otsu,-400,0,2,0.498674637640291
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,otsu,-400,0,3,0.4977792770000562
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,otsu,-400,2,0,0.499035953272088
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,otsu,-400,2,2,0.49796287913082843
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,otsu,-400,2,3,0.497122220968288
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,otsu,-400,3,0,0.4931131051037321
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,otsu,-400,3,2,0.4920761600729677
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,otsu,-400,3,3,0.49156106154458146
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-500,0,0,0.532841643952755
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-500,0,2,0.5308208240178857
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-500,0,3,0.5303392259913999
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-500,2,0,0.5327969965138106
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-500,2,2,0.5312950986156395
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-500,2,3,0.5307319153472999
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-500,3,0,0.5287678619574009
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-500,3,2,0.5274134594710815
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-500,3,3,0.5269255524565544
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-400,0,0,0.49974560461303635
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-400,0,2,0.498674637640291
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-400,0,3,0.4977792770000562
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-400,2,0,0.499035953272088
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-400,2,2,0.49796287913082843
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-400,2,3,0.497122220968288
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-400,3,0,0.4931131051037321
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-400,3,2,0.4920761600729677
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-400,3,3,0.49156106154458146
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-300,0,0,0.4607049297451774
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-300,0,2,0.46072363722923115
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-300,0,3,0.4609532865802924
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-300,2,0,0.46042736063029727
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-300,2,2,0.4605749731599666
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-300,2,3,0.4609151572926597
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-300,3,0,0.4512944009632751
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-300,3,2,0.4514653667930433
LIDC-IDRI-0001_R_1.nii.gz,0.5,5,fixed,-300,3,3,0.4525012025012025
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,otsu,-396,0,0,0.5333185374244022
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,otsu,-396,0,2,0.5305604589585172
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,otsu,-396,0,3,0.529489291598023
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,otsu,-396,2,0,0.5309428060768543
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,otsu,-396,2,2,0.5282976950846987
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,otsu,-396,2,3,0.5278345956105921
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,otsu,-396,3,0,0.5189830508474577
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,otsu,-396,3,2,0.5170419450839463
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,otsu,-396,3,3,0.5163384064458371
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-500,0,0,0.5703233792356491
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-500,0,2,0.5629486331008502
LIDC-IDRI-0001_R_1.nii.gz,1.0,1,fixed,-500,0,3,0.5586186004241139
